STATE,PLANT_NAME,LAT,LON,COAL_GEN,OIL_GEN,GAS_GEN,NUCLEAR_GEN,HYDRO_GEN,BIOMASS_GEN,WIND_GEN,SOLAR_GEN,GEOTHERMAL_GEN,OTHER_GEN,NET_GEN,NET_NONRENEWABLE_GEN,NET_RENEWABLE_GEN,PERCENT_COAL_GEN,PERCENT_OIL_GEN,PERCENT_GAS_GEN,PERCENT_NUCLEAR_GEN,PERCENT_HYDRO_GEN,PERCENT_BIOMASS_GEN,PERCENT_WIND_GEN,PERCENT_SOLAR_GEN,PERCENT_GEOTHERMAL_GEN,PERCENT_OTHER_GEN,PERCENT_NONRENEWABLE_GEN,PERCENT_RENEWABLE_GEN
GA,HERCULES INC BRUNSWICK PLANT,31.2335,81.5161,0.0,1015.2,7798.0,0.0,0.0,21862.0,0.0,0.0,0.0,0.0,30675.2,8813.2,21862.0,0.0000,3.3095,25.4213,0.0000,0.0000,71.2692,0.0000,0.0000,0.0000,0.0000,28.7308,71.2692
GA,HIGH SHOALS HYDRO,33.6261,83.4812,0.0,0.0,0.0,0.0,16.4,0.0,0.0,0.0,0.0,0.0,16.4,0.0,16.4,0.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000
GA,IMERYS KAOLIN CO JEFFERSONVILLE PLANT,32.6751,83.4145,0.0,119.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.6,119.6,0.0,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000,0.0000
GA,INFORUM,33.8443,84.4094,0.0,198.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,198.7,198.7,0.0,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000,0.0000
GA,INLAND PAPERBOARD PACKAGING ROME LINERBOARD MILL,34.3333,85.2336,117327.8,31432.9,3814.0,0.0,0.0,258604.6,0.0,0.0,0.0,585.3,411764.6,153160.0,258604.6,28.4939,7.6337,0.9263,0.0000,0.0000,62.8040,0.0000,0.0000,0.0000,0.1421,37.1960,62.8040
GA,INTERNATIONAL PAPER AUGUSTA MILL,33.3880,82.1033,64092.0,9150.5,3019.5,0.0,0.0,422561.7,0.0,0.0,0.0,0.0,498823.7,76262.0,422561.7,12.8486,1.8344,0.6053,0.0000,0.0000,84.7116,0.0000,0.0000,0.0000,0.0000,15.2884,84.7116
GA,INTERNATIONAL PAPER CO SAVANNAH,31.9812,81.1175,340212.4,29962.6,110419.5,0.0,0.0,574867.7,0.0,0.0,0.0,1530.4,1056992.6,482124.9,574867.7,32.1868,2.8347,10.4466,0.0000,0.0000,54.3871,0.0000,0.0000,0.0000,0.1448,45.6129,54.3871
GA,INTERSTATE PAPER CORP RICEBORO,31.8221,81.4781,0.0,12606.4,27574.5,0.0,0.0,51929.9,0.0,0.0,0.0,0.0,92110.8,40180.8,51929.9,0.0000,13.6861,29.9362,0.0000,0.0000,56.3777,0.0000,0.0000,0.0000,0.0000,43.6223,56.3777
GA,J M HUBER CORP ENGINEERED MINERALS DIV WRENS,33.0372,82.4554,0.0,25.9,6102.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6128.3,6128.3,0.0,0.0000,0.4223,99.5777,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000,0.0000
GA,JACK MCDONOUGH,33.8244,84.4750,3464661.0,10480.0,166878.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3642019.0,3642019.0,0.0,95.1302,0.2878,4.5820,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000,0.0000
GA,JOHN HARMON GEN,32.5801,83.8593,0.0,0.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,121.0,0.0,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000,0.0000
GA,KRAFT,32.1333,81.1333,1283836.0,70002.0,76573.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1430411.0,1430411.0,0.0,89.7529,4.8938,5.3532,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000,0.0000
GA,LANGDALE,32.7276,84.9386,0.0,0.0,0.0,0.0,2218.0,0.0,0.0,0.0,0.0,0.0,2218.0,0.0,2218.0,0.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000
GA,LLOYD SHOALS,33.3290,83.6984,0.0,0.0,0.0,0.0,38539.0,0.0,0.0,0.0,0.0,0.0,38539.0,0.0,38539.0,0.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000
GA,MCINTOSH,32.3533,81.1628,915963.0,47203.0,341468.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1304634.0,1304634.0,0.0,70.2084,3.6181,26.1735,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000,0.0000
GA,MCMANUS,31.2125,81.5458,0.0,303067.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,303067.0,303067.0,0.0,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000,0.0000
GA,MID GEORGIA COGEN,32.4874,83.6775,0.0,23411.1,665667.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,689078.8,689078.8,0.0,0.0000,3.3974,96.6026,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000,0.0000
GA,MILSTEAD,33.6560,84.0497,0.0,0.0,0.0,0.0,1548.4,0.0,0.0,0.0,0.0,0.0,1548.4,0.0,1548.4,0.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000
GA,MITCHELL,31.4444,84.1322,637540.0,53396.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,690936.0,690936.0,0.0,92.2719,7.7281,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000,0.0000
GA,MORGAN FALLS,33.8443,84.4094,0.0,0.0,0.0,0.0,28321.0,0.0,0.0,0.0,0.0,0.0,28321.0,0.0,28321.0,0.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000
GA,MPC GENERATING,33.7634,83.7442,0.0,0.0,102258.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102258.0,102258.0,0.0,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000,0.0000
